ID;Année;Mois ;Date ;Pays;CATPROD;Produit;CATFRAU;OBJETFRAU;LINKSOURCE;;;;;;;;;;;;;;;;;;
GFF87282;2024;avr;05/04/2024;India;Other food products/ mixed;sugar;Grey market ;The authorities seized in total 70 tons of contraband sugar;https://www.uniindia.com/~/bsf-foils-sugar-smuggling-into-bangladesh/States/news/3173257.html;;;;;;;;;;;;;;;;;;
GFF87283;2024;avr;06/04/2024;Spain;Fruits and vegetables;fruits and vegetables;Counterfeit;"The authorities seized 230 tons of fruits and vegetables misslabelled as""organic""";https://www.abc.es/espana/andalucia/granada/operacion-presunto-fraude-alimentario-motril-salda-tres-20240403210415-nts.html;;;;;;;;;;;;;;;;;;
GFF87284;2024;avr;07/04/2024;Brazil;Fruits and vegetables;garlic;Grey market ;"The authorities seized 6 tons of contraband garlic and onions from Argentina.
";https://www.gov.br/pf/pt-br/assuntos/noticias/2024/04/pf-apreende-mais-de-seis-toneladas-de-alimentos-contrabandeados-em-foz-do-iguacu-pr;;;;;;;;;;;;;;;;;;
GFF87285;2024;avr;08/04/2024;Cambodia;Poultry meat and poultry meat products;chicken meat;Adulteration/ Producttampering Grey market;"The authorities seized 3.1 tons of illegally imported and tainted chicken meat.
";https://www.khmertimeskh.com/501468071/over-three-tonnes-of-tainted-chicken-meat-seized-and-destroyed/;;;;;;;;;;;;;;;;;;
GFF87286;2024;avr;09/04/2024;Ireland;Wine;wine;Grey market ;"The Rosslare Europort authorities seized 4 860 litres of contraband red wine (total value of
59 000 Euros).";https://kclr96fm.com/half-a-million-euro-worth-of-cannabis-and-red-wine-seized-in-dublin-and-wexford/;;;;;;;;;;;;;;;;;;
GFF87287;2024;avr;10/04/2024;Malaysia;Meat and meat products (other than poultry;meat;Grey market ;"The Customs Departments seized 23 tons of smuggled frozen meat (total value of 90 950
Euros).";https://thesun.my/local_news/melaka-customs-foils-attempt-to-smuggle-23080-kg-of-frozen-meat-OA12305290;;;;;;;;;;;;;;;;;;
GFF87288;2024;avr;11/04/2024;Italy;Bivalve molluscs and products thereof Cephalopods and products thereof Crustaceans and products thereof Fish and fish products Gastropods Other food products/ mixed;seafood;Grey market ;"The authorities seized 3 tons of seafood without traceability documentation or not suitable
for human consumption.
The authorities seized 2.7 tons of mussels illegally caught.";https://www.foggiatoday.it/cronaca/manfredonia-sequestro-pesca-illegale-guardia-finanza.html;;;;;;;;;;;;;;;;;;
GFF87289;2024;avr;12/04/2024;Portugal;Fats and oils;oil;Adulteration/ Product tampering;"The authorities seized 2 510 litres of cooking oil sold as olive oil (total value of 29 000
Euros).
";https://cnnportugal.iol.pt/azeite/asae/asae-deteta-em-flagrante-venda-de-milhares-de-litros-de-azeite-que-eram-afinal-oleo-alimentar/20240408/6613f996d34ebf9bbb3c30a0;;;;;;;;;;;;;;;;;;
GFF87290;2024;avr;13/04/2024;India;Other food products/ mixed;sugar;Grey market ;The authorities seized in total 175.3 tons of contraband sugar. ;https://www.srilankasource.com/news/274243061/bsf-meghalaya-local-police-seize-30000-kg-sugar-at-international-border;;;;;;;;;;;;;;;;;;
GFF87291;2024;avr;14/04/2024;Pakistan;Milk and milk products;milk;Adulteration/ Product tampering;The authorities seized 6 670 litres of milk adulterated with water and/or chemicals.;https://www.urdupoint.com/en/pakistan/pfa-disposes-of-980-adulterated-milk-1818439.html;;;;;;;;;;;;;;;;;;
GFF87292;2024;avr;15/04/2024;Italy;Food;food;Grey market ;"The authorities seized 24 tons of food without traceability documentation (total value of
146 000 Euros)";https://www.ilgiornaledisalerno.it/controlli-dei-carabinieri-del-nas-nel-salernitano-77-attivita-non-conformi/;;;;;;;;;;;;;;;;;;
GFF87293;2024;avr;16/04/2024;Paraguay;Meat and meat products (other than poultry;beef;Grey market ;The authorities seized 2.5 tons of contraband beef, presumably smuggled from Argentina.;https://ministeriopublico.gov.py/nota/-9796;;;;;;;;;;;;;;;;;;
GFF87294;2024;avr;17/04/2024;Pakistan;Non-alcoholic beverages;beverage;Adulteration/ Product tampering Counterfeit;"The authorities closed two fake beverage manufacturing plants, counterfeiting labels from
popular brands. The authorities also seized 16 800 litres of expired juices and 12 600
litres of fake carbonated drinks. The authorities seized 16 700 litres of fake cold drinks with counterfeit labels from a
famous brand.";https://www.urdupoint.com/en/pakistan/pfa-unearths-two-fake-beverage-units-1815318.html;;;;;;;;;;;;;;;;;;
GFF87295;2024;avr;18/04/2024;Kyrgyzstan;Eggs and egg products;eggs;Grey market ;"The authorities seized 30 000 contraband eggs.
";https://24.kg/english/291848_Employees_of_Batken_veterinary_control_department_destroy_30000_eggs/;;;;;;;;;;;;;;;;;;
GFF87296;2024;avr;19/04/2024;Bangladesh;Other food products/ mixed;sugar;Grey market ;The authorities seized in total 272 tons of contraband sugar;https://www.thedailystar.net/news/bangladesh/crime-justice/news/242-tonnes-smuggled-indian-sugar-seized-3590991;;;;;;;;;;;;;;;;;;
GFF87297;2024;avr;20/04/2024;Chile;Eggs and egg products;eggs;Grey market ;The authorities seized almost 37 000 contraband chicken eggs.;https://portaldelcampo.cl/Noticias/95304_En-Quillagua--SAG-Tarapac%C3%A1-y-Aduanas-desmantelan-intento-de-contrabando-de-37-mil-unidades-de-huevos-de-gallina.html;;;;;;;;;;;;;;;;;;
GFF87298;2024;avr;21/04/2024;Italy;Meat and meat products (other than poultry;meat;Adulteration/ Product tampering Grey market;The authorities seized 8 tons of meat products unfit for human consumption and produced in an illegal plant,;https://www.ilroma.net/news/cronaca/sequestrate-otto-tonnellate-di-carne-carenze-igieniche;;;;;;;;;;;;;;;;;;
GFF87299;2024;avr;22/04/2024;India;Fruits and vegetables;bananas;Adulteration/ Product tampering;"The authorities seized four tons of bananas and four tons of mangoes artificially ripened
with chemicals (e.g. calcium carbide, arsenic and phosphorus),";https://www.dtnext.in/news/city/food-safety-department-raids-shops-in-koyambedu-market-seizes-articial-ripened-fruits-780956;;;;;;;;;;;;;;;;;;
GFF87300;2024;avr;23/04/2024;Spain;Fats and oils;olive oil;Misdescription, Mislabelling, Misbranding;The authorities seized 400 litres of olive oil from Portugal but mislabelled as from Spain.;https://www.noticiasaominuto.com/mundo/2547226/importavam-azeite-de-portugal-e-vendiam-no-com-rotulagem-falsa-em-espanha;;;;;;;;;;;;;;;;;;
GFF87301;2024;avr;24/04/2024;Italy;Milk and milk products;milk;Adulteration/ Product tampering;"The authorities seized 90 tons of rancid milk, 110 tons of adulterated dairy products and
2.5 tons of adulterants as sodium hydroxide and hydrogen peroxide (total value of 800
000 Euros).";https://www.radiostudio90italia.it/sequestrate-200-tonn-latte-e-prodotti-caseari-lollobrigida-bene/;;;;;;;;;;;;;;;;;;
GFF87302;2024;avr;25/04/2024;Russia;Fruits and vegetables;berries;Grey market ;"The authorities seized and destroyed 4.5 tons of contraband berries, fruits and vegetables
from the European Union.";https://www.freshplaza.com/europe/article/9621336/contraband-vegetables-from-europa-seized-at-the-russian-lithuanian-border/;;;;;;;;;;;;;;;;;;
GFF87303;2024;avr;26/04/2024;Malaysia;Alcoholic beverages;alcoholic drinks;Grey market ;The authorities seized 10 728 cans of contraband alcoholic drinks;https://www.thestar.com.my/news/nation/2024/04/26/mmea-foils-booze-smugglers-near-labuan-seizes-over-10000-bottles-and-cans;;;;;;;;;;;;;;;;;;
GFF87304;2024;avr;27/04/2024;Italy;Fats and oils;olive oil;Counterfeit;The authorities seized 900 litres of olive oil with counterfeit labels from a famous brand;https://agenparl.eu/2024/04/30/carabinieri-caivano-na-sequestrata-quasi-una-tonnellata-di-olio-doliva-contraffatto-denunciata-una-27enne/;;;;;;;;;;;;;;;;;;
GFF87305;2024;avr;28/04/2024;Italy;Bivalve molluscs and products thereof Cephalopods and products thereof Crustaceans and products thereof Fish and fish products Gastropods Other food products/ mixed;crab;Grey market ;"The authorities seized 2.5 tons of mussels with no traceability documentation and with
fake documents claiming the product to be blue crab.
";https://internapoli.it/vongole-non-tracciate-e-spacciate-per-granchio-blu-sequestro-da-25-tonnellate-a-castellammare/;;;;;;;;;;;;;;;;;;
GFF87306;2024;avr;29/04/2024;United Kingdom;Meat and meat products (other than poultry;meat;Grey market ;The Dover Port Health Authority seized 3.4 tons of illegal meat;https://www.kentonline.co.uk/dover/news/tonnes-of-illegal-meat-and-54-sheep-carcasses-seized-at-port-305999/;;;;;;;;;;;;;;;;;;
GFF87307;2024;avr;30/04/2024;"Democratic Republic of
the Congo";Cocoa and cocoa preparations, coffee and tea;coffee;Grey market ;The authorities seized 3.5 tons of contraband coffee.;https://lepotentiel.cd/2024/04/30/fraude-des-produits-agricoles-au-sud-kivu-lonapac-met-la-main-sur-35-tonnes-de-cafe/;;;;;;;;;;;;;;;;;;
GFF87308;2024;mars;17/03/2024;Pakistan;Milk and milk products;milk;Adulteration, Product tampering;The authorities seized 1 500 litres of milk adulterated with water. ;https://www.nation.com.pk/10-Mar-2024/pfa-disposes-of-1-500-litres-adulterated-milk;;;;;;;;;;;;;;;;;;
GFF87309;2024;mars;18/03/2024;Malaysia;Alcoholic beverages;liquor ;Grey market ;The authorities seized 97 200 cans of contraband beer and 30 392 bottles of contraband liquor (total value of 625 000 Euros). ;https://www.thestar.com.my/news/nation/2024/03/11/customs-seizes-illicit-smokes-and-booze-worth-rm134mil-in-selangor-ops;;;;;;;;;;;;;;;;;;
GFF87310;2024;mars;19/03/2024;Spain;Wine;wine;Counterfeit ;The authorities seized 18 400 bottles of wine with a counterfeit Geographical Indication from Malaga.;https://www.europapress.es/la-rioja/noticia-detectan-mas-18400-botellas-embotelladas-rioja-comercializadas-denominacion-origen-vinos-malaga-20240312091412.html;;;;;;;;;;;;;;;;;;
GFF87311;2024;mars;20/03/2024;Kenya;Fish and fish products;fish;Grey market ;The authorities seized 850 kg of fish illegally fished;https://www.capitalfm.co.ke/news/2024/03/police-kws-arrest-suspect-with-850kg-of-fish-from-lake-nakuru/;;;;;;;;;;;;;;;;;;
GFF87312;2024;mars;21/03/2024;Morocco;Food;food;Adulteration, Product tampering;The authorities seized and destroyed 1.9 tons of food unfit for human consumption, including flour, soft drinks, semolina, couscous, vegetable butter, milk derivatives, chocolate, sausages, tomato sauces, dates and jam. ;https://www.breakinglatest.news/news/province-of-ifrane-confiscation-and-destruction-of-1934-kg-of-food-products-unfit-for-consumption-before-the-advent-of-ramadan/;;;;;;;;;;;;;;;;;;
GFF87313;2024;mars;22/03/2024;Malaysia;Fats and oils;oil;Grey market ;The authorities seized 10.2 tons of contraband subsidised cooking oil (total value of 3 750 Euros;https://thesun.my/local_news/cooking-oil-smuggling-bid-foiled-two-held-in-tumpat-EA12212475;;;;;;;;;;;;;;;;;;
GFF87314;2024;mars;23/03/2024;Singapore;Meat and meat products (other than poultry;meat;Grey market ;The authorities seized 1.5 tons of meat products stored illegally. ;https://www.sfa.gov.sg/docs/default-source/default-document-library/sfa-press-release-prosecution-of-gin-thye-(1964)-pte-ltd-for-operating-an-unlicensed-coldstore_13mar24.pdf;;;;;;;;;;;;;;;;;;
GFF87315;2024;mars;24/03/2024;Kenya;Alcoholic beverages;liquor;Grey market ;The authorities seized in total 5 304 bottles (1 326 litres) and other 2 740 bottles of illicit liquor. ;https://www.the-star.co.ke/news/realtime/2024-03-14-two-arrested-5304-bottles-of-illicit-liquor-seized-in-machakos/;;;;;;;;;;;;;;;;;;
GFF87316;2024;mars;25/03/2024;Brazil;Wine;wine;Grey market ;The authorities seized 700 bottles of smuggled wine. ;https://g1.globo.com/pr/norte-noroeste/noticia/2024/03/14/700-garrafas-de-vinho-contrabandeadas-sao-apreendidas-durante-perseguicao-em-arapongas-quatro-foram-presos.ghtml;;;;;;;;;;;;;;;;;;
GFF87317;2024;mars;12/03/2024;Cyprus;Meat and meat products (other than poultry;beef;Grey market ;The authorities seized 2 tons of contraband beef. ;http://www.newsincyprus.com/news/505736/two-metric-tonnes-of-smuggled-beef-seized-in-north;;;;;;;;;;;;;;;;;;
GFF87318;2024;mars;13/03/2024;Rwanda;Cereals and bakery products;rice;Adulteration,Product tampering, Misdescription,Mislabelling,Misbranding;The authorities seized 720 tons of imported rice with a quality inferior to that claimed by the importer, with too many broken grains (57% of the total) and unfit for human consumption. ;https://www.newtimes.co.rw/article/15293/news/rwanda/govt-seizes-over-700-tonnes-of-low-quality-rice;;;;;;;;;;;;;;;;;;
GFF87319;2024;mars;14/03/2024;Pakistan;Meat and meat products (other than poultry;meat;Adulteration, Product tampering Grey market;The authorities seized in total 5.6 tons of rotten meat, some stored in a clandestine warehouse;https://www.thenews.com.pk/print/1168665-2-100kg-rotten-meat-seized-in-swabi-crackdown;;;;;;;;;;;;;;;;;;
GFF87320;2024;mars;15/03/2024;Indonesia;Alcoholic beverages;liquor;Adulteration, Product tampering  ;Twenty people died after consuming spurious liquor.;https://www.newindianexpress.com/nation/2024/Mar/25/deadly-methanol-used-in-punjab-hoochtragedy-was-bought-from-noida-factory;;;;;;;;;;;;;;;;;;
GFF87321;2024;mars;16/03/2024;Ivory Coast;Other food products/ mixed;sugar;Adulteration, Product tampering  ;The authorities seized 4 tons of fake sugar made of grinded blocks. ;https://news.abidjan.net/articles/729816/quatre-tonnes-de-faux-sucre-saisi-chez-un-imam-a-diegonefla;;;;;;;;;;;;;;;;;;
GFF87322;2024;mars;17/03/2024;Spain;Fats and oils;olive oil;Grey market ;The authorities seized 1 573 litres of olive oil from Portugal without traceability documentation. ;https://www.foodretail.es/food/intervenido-aceite-Portugal-irregularidades-etiquetado_0_1860113973.html;;;;;;;;;;;;;;;;;;
GFF87323;2024;mars;18/03/2024;Pakistan;Cocoa and cocoa preparations, coffee and tea;tea;Adulteration, Product tampering  ;The authorities seized 1.5 tons of spurious tea adulterated with colours;https://www.urdupoint.com/en/pakistan/pfa-discards-1500-kg-of-adulterated-tea-1808478.html;;;;;;;;;;;;;;;;;;
GFF87324;2024;mars;19/03/2024;Italy;Fruits and vegetables;vegetables ;Counterfeit, Misdescription,Mislabelling, Misbranding ;   The authorities seized 34 tons of canned vegetables with a falsified Geographical Indication or wrong labels. ;https://www.puglialive.net/bari-controlli-coldiretti-puglia-bene-sequestro-34-ton-conserve-con-falsa-indicazione-igp-carciofo-brindisino-e-oltre-2-ton-ortaggi-stranieri-stretta-piano-straordinario-per-gra/;;;;;;;;;;;;;;;;;;
GFF87325;2024;mars;20/03/2024;Brazil;Cocoa and cocoa preparations, coffee and tea;coffee;Adulteration, Product tampering ,Grey market ;   In the operation valoriza the authorities seized 9,4 tons of roasted and ground coffee suspected of being produced illegally or without adequate hygienic conditions.;https://www.revistanegociorural.com.br/noticias/quase-10-toneladas-de-cafe-irregular-e-apreendido-em-fiscalizacao-a-47-mercados/;;;;;;;;;;;;;;;;;;
GFF87326;2024;mars;21/03/2024;Singapore;Food;food;Grey market ;The authorities seized 1.5 tons of fresh and processed food (e.g. bayam, chilli padi, spring onion, brinjal, peeled garlic and cut cabbage) illegally imported from Malaysia.;https://www.straitstimes.com/singapore/15-tonnes-of-illegally-imported-vegetables-and-processed-food-from-malaysia-seized;;;;;;;;;;;;;;;;;;
GFF87327;2024;mars;22/03/2024;Italy;Cereals and bakery products;sweets;Misdescription, Mislabelling, Misbranding ;"The authorities seized 2 tons of typical Easter sweets produced industrially but mislabelled  as "" artisanal""(total value of 267 000 euros ) ";https://www.ilmessaggero.it/italia/uova_di_pasqua_e_colombe_scadute_o_illegali_maxi_sequestro-8025030.html;;;;;;;;;;;;;;;;;;
GFF87328;2024;mars;23/03/2024;Bolivia;Bivalve molluscs and products thereof Cephalopods and products thereof Crustaceans and products thereof Fish and fish products Gastropods Other food products/ mixed;seafood;Grey market ;The authorities seized 1.5 tons of contraband seafood from Peru and Argentina;https://www.atb.com.bo/2024/03/31/comisan-1-500-kilos-de-pescado-y-mariscos-en-mal-estado-y-de-contrabando/;;;;;;;;;;;;;;;;;;
GFF87329;2024;févr;01/02/2024;India;Alcoholic beverages;liquor;Grey market ;The authorities seized in total 1 360 bottles of contraband liquor. The authorities seized 14 172 bottles of illegal liquor. The authorities seized 2 794 bottles of Indian Made Foreign Liquor (IMLF). ;https://www.dtnext.in/news/tamilnadu/3-arrested-for-attempt-to-hoard-imfl-in-thanjai-over-1300-bottles-seized-764783;;;;;;;;;;;;;;;;;;
GFF87330;2024;févr;02/02/2024;Cambodia;Meat and meat products (other than poultry;meat;Grey market ;The authorities seized four containers of contraband frozen meat. ;https://www.khmertimeskh.com/501432966/police-seize-four-containers-of-frozen-meat-in-svay-rieng-province/;;;;;;;;;;;;;;;;;;
GFF87331;2024;févr;03/02/2024;Indonesia;Alcoholic beverages;alcoholic beverages;Grey market ;Batam Customs seized more than 10 000 litres of contraband alcoholic beverages from Singapore (total value of 411 650 Euros). ;https://en.tempo.co/read/1828631/batam-customs-thwart-smuggling-of-illegal-alcoholic-beverages-from-singapore;;;;;;;;;;;;;;;;;;
GFF87332;2024;févr;04/02/2024;Uganda;Fish and fish products;Nile perch;Grey market ;The authorities seized 1 ton of immature Nile perch illegally fished.;https://www.monitor.co.ug/uganda/news/national/one-tonne-of-immature-fish-nets-destroyed-in-masaka-4510930;;;;;;;;;;;;;;;;;;
GFF87333;2024;févr;05/02/2024;Thailand;Meat and meat products (other than poultry;meat;Grey market ;The authorities seized 24 tons of frozen buffalo meat from India without any official documentation. ;https://www.bangkokpost.com/thailand/general/2735340/24-tonnes-of-smuggled-buffalo-meat-seized;;;;;;;;;;;;;;;;;;
GFF87334;2024;févr;06/02/2024;India;Alcoholic beverages;alcoholic beverages ;Counterfeit ;The authorities seized 60 000 bottles of alcoholic beverages illegally produced and with counterfeit labels from a famous brand. ;https://indianexpress.com/article/cities/pune/bogus-liquor-bottles-fake-label-sugar-factory-seized-9141254/;;;;;;;;;;;;;;;;;;
GFF87335;2024;févr;07/02/2024;Dominican Republic;Alcoholic beverages;alcoholic beverages ;Grey market ;The authorities seized 4 200 bottles of contraband whiskey and almost 2 000 bottles of other contraband alcoholic beverages. ;https://elnacional.com.do/autoridades-descomisan-contrabando-de-alcohol-y-cigarrillo-en-puerto-plata/;;;;;;;;;;;;;;;;;;
GFF87336;2024;févr;08/02/2024;Pakistan;Milk and milk products;dairy product;Adulteration, Product tampering;The Punjab food Authority (PFA) discarded 1.3 tons of unsafe khoya, a typical dairy product, adulterated with vegetable ghee and starch. ;https://www.app.com.pk/domestic/1300-kg-adulterated-khoya-wasted/;;;;;;;;;;;;;;;;;;
GFF87337;2024;févr;09/02/2024;India;"Other food products/
mixed";sugar;Grey market ;The authorities seized in total 68.2 tons of contraband sugar intended to be smuggled into Bangladesh. ;https://www.aninews.in/news/national/general-news/meghalaya-bsf-recovers-over-50000-kg-of-sugar-near-indo-bangladesh-border20240203150709/;;;;;;;;;;;;;;;;;;
GFF87338;2024;févr;10/02/2024;Spain;Food;food;Misdescription, Mislabelling,Misbranding ;The authorities seized 10 tons of food not compliant with the language requirements of the EU legislation (total value of 90 000 Euros). The products were not labelled in the national language of consumers and did not include information regarding allergens;"https://www.elperiodico.com/es/sociedad/20240204/intervenidas-valencia-10-toneladas-alimentos-97729295?amp;utm_medium=feed&amp;utm_campaign=sociedad";;;;;;;;;;;;;;;;;;
GFF87339;2024;févr;11/02/2024;Greece;Fats and oils;olive oil;Adulteration, Product tampering ;The authorities arrested a person for adulterating olive oil. The authorities also seized 13 960 litres of sunflower oil and 6 332 litres of a substance resembling olive oil.;https://www.ekathimerini.com/news/1230871/man-arrested-for-olive-oil-adulteration-and-trade/;;;;;;;;;;;;;;;;;;
GFF87340;2024;févr;12/02/2024;Italy;Wine;wine;Grey market ;The authorities seized 50 bottles of contraband high-quality wine (total value of 170 000 Euros). ;https://milano.repubblica.it/cronaca/2024/02/05/news/confine_svizzera_sequestro_champagne_contrabbando_chiavenna-422060263/;;;;;;;;;;;;;;;;;;
GFF87341;2024;févr;13/02/2024;India;Cereals and bakery products;rice;Grey market ;The authorities seized in total 45.5 tons of rice meant for the public distribution system. ;https://www.thehindu.com/news/cities/Coimbatore/four-held-for-smuggling-pds-rice-in-erode/article67813688.ece;;;;;;;;;;;;;;;;;;
GFF87342;2024;févr;14/02/2024;Nigeria;Cereals and bakery products;rice;Grey market ;The authorities seized 1.9 tons of contraband parboiled rice. ;https://www.pulse.ng/news/local/nigerian-navy-apprehends-smugglers-seizes-38-bags-of-rice-in-akwa-ibom/72v2nhg;;;;;;;;;;;;;;;;;;
GFF87343;2024;févr;15/02/2024;Kuwait;Alcoholic beverages;Alcoholic beverages;Grey market ;The authorities seized 13 422 bottles of contraband alcoholic beverages. ;https://www.arabtimesonline.com/news/over-13000-bottles-of-alcohol-intercepted/;;;;;;;;;;;;;;;;;;
GFF87344;2024;févr;16/02/2024;United Kingdom;Poultry meat and poultry meat products;chicken meat;Document forgery, Grey market ;The authorities uncovered a criminal group stealing chicken meat (total value of 375 000 Euros) and reselling it with forged dispatch notes in the supply chains. ;https://www.securingindustry.com/food-and-beverage/uk-men-sentenced-in-food-theft-fraud-case/s104/a15955/;;;;;;;;;;;;;;;;;;
GFF87345;2024;févr;17/02/2024;Philippines;Meat and meat products (other than poultry;meat;Grey market ;In 2023 the authorities seized 2.1 tons of meat illegally slaughtered.;https://www.sunstar.com.ph/davao/cvo-seizes-over-2-k-kg-of-hot-meat-in-2023;;;;;;;;;;;;;;;;;;
GFF87346;2024;févr;18/02/2024;Italy;Bivalve molluscs and products thereof Cephalopods and products thereof Crustaceans and products thereof Fish and fish products Gastropods Other food products/ mixed;seafood;Grey market ;The authorities seized 1.35 tons of seafood illegally sold. The authorities seized 1.5 tons of bivalves without any traceability documentation (total value of 8 200 Euros). The authorities seized 6 tons of seafood without any traceability documentation. ;https://www.ansa.it/sicilia/notizie/2024/02/09/sequestrati-pesce-e-novellame-ad-ambulanti-abusivi-a-palermo_174b458a-7e03-44fb-a942-311607531032.html;;;;;;;;;;;;;;;;;;
GFF87347;2024;févr;19/02/2024;Belgium;Meat and meat products (other than poultry;bushmeat;Grey market ;Almost 4 tons of bushmeat are estimated to be illegally smuggled through Brussels airport each month.;https://www.mirror.co.uk/news/world-news/smoked-monkey-sharks-found-smugglers-32027784;;;;;;;;;;;;;;;;;;
GFF87348;2024;févr;20/02/2024;Spain;Cephalopods and products thereof;seafood;Grey market ;The authorities seized 1.1 tons of seafood (mainly octopus and fishes) illegally caught. ;https://www.eldebate.com/espana/la-voz-de-cordoba/actualidad/20240210/incautan-1000-kg-pescado-ilegal-provincia-cordoba_173659.html;;;;;;;;;;;;;;;;;;
GFF87349;2024;févr;21/02/2024;Cuba;Poultry meat and poultry meat products;chicken meat ;Grey market ;Thirty people have stolen 130 tons of chicken meat from a company to resell it on the black market (total value of 244 000 Euros). ;https://adncuba.com/crimen-y-corrupcion/se-roban-130-toneladas-de-pollo-de-empresa-estatal-en-la-habana;;;;;;;;;;;;;;;;;;
GFF87350;2024;févr;22/02/2024;Kenya;Alcoholic beverages;liquor;Adulteration, Product tampering ;Twenty people are suspected to be dead because of adulterated liquor. ;https://www.k24tv.co.ke/news/2-die-in-kajiado-over-bad-liquor-130758/;;;;;;;;;;;;;;;;;;
GFF87351;2024;févr;23/02/2024;Oman;Alcoholic beverages;alcoholic beverages;Grey market ;The authorities seized 14 000 bottles of contraband alcoholic beverages, ;https://timesofoman.com/article/141852-oman-customs-thwarts-smuggling-attempt-seizes-14000-bottles-of-alcohol-in-oman;;;;;;;;;;;;;;;;;;
GFF87352;2024;févr;24/02/2024;Italy;Eggs and egg products;eggs;Grey market ;The authorities seized 1 100 boxes of meat products and 300 boxes of quail eggs not respecting the labelling legislation and of unclear origin (total value of 30 000 Euros). ;https://www.castedduonline.it/anatre-polli-e-uova-di-dubbia-origine-a-cagliari-un-sequestro-per-30-mila-euro/;;;;;;;;;;;;;;;;;;
GFF87353;2024;févr;25/02/2024;India;Meat and meat products (other than poultry;meat;Document forgery ;"The Chairman, the vice presiden, the general secretaryand the treasurer of the "" halal council""have been arrestedfor issuing false halal cetificates.";http://www.uniindia.com/~/four-members-of-halal-council-arrest-for-issuing-fraudulent-certificates/States/news/3142398.html;;;;;;;;;;;;;;;;;;
GFF87354;2024;févr;26/02/2024;India;Meat and meat products (other than poultry;buffaloes;Grey market ;The authorities seized 37 buffaloes smuggled into Bangladesh. ;https://www.myanmarnews.net/news/274124329/bsf-meghalaya-foils-smuggling-attempts-at-indo-bangladesh-border;;;;;;;;;;;;;;;;;;
GFF87355;2024;févr;27/02/2024;United States;Fish and fish products;fish;Grey market ;The authorities seized 590 kg of fish illegally caught in federal waters.The authorities seized almost 1 ton of illegally caught fish. ;https://foreignaffairs.co.nz/2024/02/14/mil-osi-security-coast-guard-interdicts-6-lancha-crews-seizes-1300-pounds-of-illegal-fish-off-texas-coast/;;;;;;;;;;;;;;;;;;
GFF87356;2024;févr;28/02/2024;Italy;Bivalve molluscs and products thereof Cephalopods and products thereof Crustaceans and products thereof Fish and fish products Gastropods Other food products/ mixed;seafood ;Adulteration, Product tampering, Grey market ;The authorities seized 44 tons of seafood in a restaurant either expired or lacking the required traceability documentation. ;https://www.blogsicilia.it/palermo/pesce-prodotti-ittici-scaduti-non-norma-sequestri-sanzioni-133-000-euro/980411/;;;;;;;;;;;;;;;;;;
GFF87357;2024;févr;29/02/2024;France;water for human consumption ( other ) ;mineral waters ;Adulteration, Product tampering , Misdescription, Mislabelling, Misbranding ;"Renowned water companies seem to have used prohibited treatments (i.e. ultraviolet treatments and activated carbon filters) on mineral waters to guarantee their safety. The legislation prohibits any disinfection of mineral waters, which must naturally be of high microbiological quality to bear the specific label "" mineral water """;https://www.lemonde.fr/en/environment/article/2024/01/30/revealed-france-s-bottled-water-plants-widely-used-fraudulent-purifying-techniques_6477927_114.html;;;;;;;;;;;;;;;;;;
GFF87358;2024;févr;01/02/2024;Malaysia;Cereals and bakery products;rice;Grey market ;The Royal Malaysian Customs Department seized 42 tons of contraband rice (total value of 20 400 Euros). ;https://thesun.my/local_news/kedah-customs-foils-rice-smuggling-attempt-NC12101048;;;;;;;;;;;;;;;;;;
GFF87359;2024;févr;02/02/2024;Burkina Faso;Cereals and bakery products;rice;Misdescription,Mislabelling, Misbranding ;The authorities seized 82 tons of rice mislabelled  as imported (total value of 72 800 Euros). ;https://burkina24.com/2024/02/15/lutte-contre-la-fraude-1-641-sacs-de-riz-illegalement-reconditionnes-saisis/;;;;;;;;;;;;;;;;;;
GFF87360;2024;févr;03/02/2024;Ivory Coast;Cocoa and cocoa preparations, coffee and tea;cocoa beans;Grey market ;The authorities seized 100 tons of contraband cocoa beans at the border with Guinea;https://www.marketscreener.com/news/latest/Ivory-Coast-seizes-100-tons-of-cocoa-at-the-border-with-Guinea-45973364/;;;;;;;;;;;;;;;;;;
GFF87361;2024;févr;04/02/2024;Portugal;Fats and oils;olive oil;Misdescription, Mislabelling,Misbranding ;The Food and Economic Security Authority (ASAE) seized 510 litres of cooking oil sold as olive oil. ;https://executivedigest.sapo.pt/noticias/asae-apreende-mais-de-500-litros-de-azeite-falsificado-e-desmantela-rede/;;;;;;;;;;;;;;;;;;
GFF87362;2024;févr;05/02/2024;Brazil;Meat and meat products (other than poultry;meat products ;Grey market ;A man has been arrested for transporting 27 horses intended to be illegally slaughtered in Paraguay to produce meat products for human consumption. ;https://noticias.uol.com.br/cotidiano/ultimas-noticias/2024/02/18/homem-preso-cavalos.htm;;;;;;;;;;;;;;;;;;
GFF87363;2024;févr;06/02/2024;Malaysia;Meat and meat products (other than poultry;contraband pork ;Grey market ;The authorities seized 96 tons of contraband pork from Brazil (total value of 522 500 Euros). ;https://www.thestar.com.my/news/nation/2024/02/20/customs-dept-seize-over-rm7mil-of-smuggled-pork-and-alcohol-in-north-port-raids;;;;;;;;;;;;;;;;;;
